name_0,iso,iso_num,name_1,ccaps_id,year,source,website,pnar,pnar_se,pnar_sz,pgar,pgar_se,pgar_sz,snar,snar_se,snar_sz,sgar,sgar_se,sgar_sz,lit15up,lit15up_se,lit15up_sz,lit1524,lit1524_se,lit1524_sz,lit1519,lit1519_se,lit1519_sz,lit2549,lit2549_se,lit2549_sz,iwatpop,iwatpop_se,iwatpop_sz,isanpop,isanpop_se,isanpop_sz,elecpop,elecpop_se,elecpop_sz,radpop,radpop_se,radpop_sz,tvpop,tvpop_se,tvpop_sz,rdtvpop,rdtvpop_se,rdtvpop_sz,iwathh,iwathh_se,iwathh_sz,isanhh,isanhh_se,isanhh_sz,elechh,elechh_se,elechh_sz,radhh,radhh_se,radhh_sz,tvhh,tvhh_se,tvhh_sz,rdtvhh,rdtvhh_se,rdtvhh_sz
"Burundi","BDI",108,"Bubanza",108002,2011,"DHS","www.measuredhs.com",62.21267,1.541257,1494,102.4726,3.636928,1494,7.844529,.9651009,817,28.77172,2.819628,818,57.79764,2.044328,2144,68.01665,2.74822,878,76.78922,2.812953,487,50.57602,2.023862,1204,64.52475,4.098234,7248,42.42823,5.014913,7248,2.635628,.9433042,7248,55.74854,2.021995,7248,1.855816,.639537,7248,55.49459,2.013759,7248,64.72775,4.048388,1441,41.20702,4.939431,1441,2.563438,.9326984,1441,50.20334,1.984068,1441,1.656027,.6447994,1441,49.76766,1.906297,1441
"Burundi","BDI",108,"Bujumbura Mairie",108003,2011,"DHS","www.measuredhs.com",75.80295,1.635965,718,112.6363,4.013371,719,31.95885,2.921502,563,95.41228,6.530486,563,88.66518,1.183123,2002,88.6348,1.151576,992,86.67936,1.827134,513,88.8212,1.796425,942,90.06953,2.291323,4752,86.2968,4.456155,4752,62.60744,6.168787,4752,80.24323,2.606479,4752,53.1903,5.902191,4752,81.97276,2.60964,4752,88.54058,2.479091,912,85.66001,4.584234,912,57.10067,6.255036,912,75.30391,2.757758,912,44.3279,5.50489,912,77.14856,2.845784,912
"Burundi","BDI",108,"Bujumbura Rural",108004,2011,"DHS","www.measuredhs.com",62.21267,1.541257,1494,102.4726,3.636928,1494,7.844529,.9651009,817,28.77172,2.819628,818,57.79764,2.044328,2144,68.01665,2.74822,878,76.78922,2.812953,487,50.57602,2.023862,1204,64.52475,4.098234,7248,42.42823,5.014913,7248,2.635628,.9433042,7248,55.74854,2.021995,7248,1.855816,.639537,7248,55.49459,2.013759,7248,64.72775,4.048388,1441,41.20702,4.939431,1441,2.563438,.9326984,1441,50.20334,1.984068,1441,1.656027,.6447994,1441,49.76766,1.906297,1441
"Burundi","BDI",108,"Bururi",108005,2011,"DHS","www.measuredhs.com",66.30883,1.372277,2036,117.4723,2.735463,2037,12.38563,1.100727,1268,45.57662,3.021638,1275,70.88363,1.587037,3050,80.19178,1.696627,1335,83.98978,1.838226,793,63.52834,1.884106,1616,67.94131,3.748927,9731,55.41788,4.216816,9731,3.004243,.774846,9731,56.42226,1.242099,9731,4.437777,2.226572,9731,56.78586,1.242379,9731,67.95639,3.516714,1921,54.18255,4.030688,1921,2.655414,.6866006,1921,51.19027,1.153134,1921,3.321293,1.444279,1921,51.43999,1.158005,1921
"Burundi","BDI",108,"Cankuzo",108006,2011,"DHS","www.measuredhs.com",61.17664,1.455065,2213,113.1274,3.140667,2216,5.808361,.8369156,1438,22.29794,2.037364,1443,65.92087,1.45844,3608,72.9434,1.839964,1528,78.40578,2.368593,834,60.23475,1.812829,1951,78.77239,2.694942,11487,44.91887,3.165077,11487,2.468756,.7346722,11487,56.77901,1.442348,11487,1.720605,.5250606,11487,56.79699,1.442665,11487,77.69923,2.89414,2405,43.86377,3.03138,2405,2.01526,.6152411,2405,51.33648,1.450344,2405,1.289977,.3697996,2405,51.36428,1.450414,2405
"Burundi","BDI",108,"Cibitoke",108007,2011,"DHS","www.measuredhs.com",62.21267,1.541257,1494,102.4726,3.636928,1494,7.844529,.9651009,817,28.77172,2.819628,818,57.79764,2.044328,2144,68.01665,2.74822,878,76.78922,2.812953,487,50.57602,2.023862,1204,64.52475,4.098234,7248,42.42823,5.014913,7248,2.635628,.9433042,7248,55.74854,2.021995,7248,1.855816,.639537,7248,55.49459,2.013759,7248,64.72775,4.048388,1441,41.20702,4.939431,1441,2.563438,.9326984,1441,50.20334,1.984068,1441,1.656027,.6447994,1441,49.76766,1.906297,1441
"Burundi","BDI",108,"Gitega",108008,2011,"DHS","www.measuredhs.com",61.17664,1.455065,2213,113.1274,3.140667,2216,5.808361,.8369156,1438,22.29794,2.037364,1443,65.92087,1.45844,3608,72.9434,1.839964,1528,78.40578,2.368593,834,60.23475,1.812829,1951,78.77239,2.694942,11487,44.91887,3.165077,11487,2.468756,.7346722,11487,56.77901,1.442348,11487,1.720605,.5250606,11487,56.79699,1.442665,11487,77.69923,2.89414,2405,43.86377,3.03138,2405,2.01526,.6152411,2405,51.33648,1.450344,2405,1.289977,.3697996,2405,51.36428,1.450414,2405
"Burundi","BDI",108,"Karuzi",108009,2011,"DHS","www.measuredhs.com",61.17664,1.455065,2213,113.1274,3.140667,2216,5.808361,.8369156,1438,22.29794,2.037364,1443,65.92087,1.45844,3608,72.9434,1.839964,1528,78.40578,2.368593,834,60.23475,1.812829,1951,78.77239,2.694942,11487,44.91887,3.165077,11487,2.468756,.7346722,11487,56.77901,1.442348,11487,1.720605,.5250606,11487,56.79699,1.442665,11487,77.69923,2.89414,2405,43.86377,3.03138,2405,2.01526,.6152411,2405,51.33648,1.450344,2405,1.289977,.3697996,2405,51.36428,1.450414,2405
"Burundi","BDI",108,"Kayanza",108010,2011,"DHS","www.measuredhs.com",59.55581,1.609998,1697,106.6306,3.42626,1697,6.49171,.979986,1050,21.49613,2.06091,1052,61.62832,1.586654,2865,66.4214,2.15718,1213,71.33768,2.619998,682,58.67095,1.697982,1545,81.93996,3.004557,8721,19.43646,2.187223,8721,4.827981,1.443905,8721,52.44914,1.770081,8721,1.712528,.3926777,8721,52.49173,1.770818,8721,81.27727,3.084214,1915,17.1148,1.931914,1915,3.996444,1.241578,1915,46.32183,1.72285,1915,1.135036,.2386363,1915,46.35194,1.723402,1915
"Burundi","BDI",108,"Kirundo",108011,2011,"DHS","www.measuredhs.com",59.55581,1.609998,1697,106.6306,3.42626,1697,6.49171,.979986,1050,21.49613,2.06091,1052,61.62832,1.586654,2865,66.4214,2.15718,1213,71.33768,2.619998,682,58.67095,1.697982,1545,81.93996,3.004557,8721,19.43646,2.187223,8721,4.827981,1.443905,8721,52.44914,1.770081,8721,1.712528,.3926777,8721,52.49173,1.770818,8721,81.27727,3.084214,1915,17.1148,1.931914,1915,3.996444,1.241578,1915,46.32183,1.72285,1915,1.135036,.2386363,1915,46.35194,1.723402,1915
"Burundi","BDI",108,"Makamba",108012,2011,"DHS","www.measuredhs.com",66.30883,1.372277,2036,117.4723,2.735463,2037,12.38563,1.100727,1268,45.57662,3.021638,1275,70.88363,1.587037,3050,80.19178,1.696627,1335,83.98978,1.838226,793,63.52834,1.884106,1616,67.94131,3.748927,9731,55.41788,4.216816,9731,3.004243,.774846,9731,56.42226,1.242099,9731,4.437777,2.226572,9731,56.78586,1.242379,9731,67.95639,3.516714,1921,54.18255,4.030688,1921,2.655414,.6866006,1921,51.19027,1.153134,1921,3.321293,1.444279,1921,51.43999,1.158005,1921
"Burundi","BDI",108,"Muramvya",108013,2011,"DHS","www.measuredhs.com",61.17664,1.455065,2213,113.1274,3.140667,2216,5.808361,.8369156,1438,22.29794,2.037364,1443,65.92087,1.45844,3608,72.9434,1.839964,1528,78.40578,2.368593,834,60.23475,1.812829,1951,78.77239,2.694942,11487,44.91887,3.165077,11487,2.468756,.7346722,11487,56.77901,1.442348,11487,1.720605,.5250606,11487,56.79699,1.442665,11487,77.69923,2.89414,2405,43.86377,3.03138,2405,2.01526,.6152411,2405,51.33648,1.450344,2405,1.289977,.3697996,2405,51.36428,1.450414,2405
"Burundi","BDI",108,"Muyinga",108014,2011,"DHS","www.measuredhs.com",59.55581,1.609998,1697,106.6306,3.42626,1697,6.49171,.979986,1050,21.49613,2.06091,1052,61.62832,1.586654,2865,66.4214,2.15718,1213,71.33768,2.619998,682,58.67095,1.697982,1545,81.93996,3.004557,8721,19.43646,2.187223,8721,4.827981,1.443905,8721,52.44914,1.770081,8721,1.712528,.3926777,8721,52.49173,1.770818,8721,81.27727,3.084214,1915,17.1148,1.931914,1915,3.996444,1.241578,1915,46.32183,1.72285,1915,1.135036,.2386363,1915,46.35194,1.723402,1915
"Burundi","BDI",108,"Mwaro",108015,2011,"DHS","www.measuredhs.com",66.30883,1.372277,2036,117.4723,2.735463,2037,12.38563,1.100727,1268,45.57662,3.021638,1275,70.88363,1.587037,3050,80.19178,1.696627,1335,83.98978,1.838226,793,63.52834,1.884106,1616,67.94131,3.748927,9731,55.41788,4.216816,9731,3.004243,.774846,9731,56.42226,1.242099,9731,4.437777,2.226572,9731,56.78586,1.242379,9731,67.95639,3.516714,1921,54.18255,4.030688,1921,2.655414,.6866006,1921,51.19027,1.153134,1921,3.321293,1.444279,1921,51.43999,1.158005,1921
"Burundi","BDI",108,"Ngozi",108016,2011,"DHS","www.measuredhs.com",59.55581,1.609998,1697,106.6306,3.42626,1697,6.49171,.979986,1050,21.49613,2.06091,1052,61.62832,1.586654,2865,66.4214,2.15718,1213,71.33768,2.619998,682,58.67095,1.697982,1545,81.93996,3.004557,8721,19.43646,2.187223,8721,4.827981,1.443905,8721,52.44914,1.770081,8721,1.712528,.3926777,8721,52.49173,1.770818,8721,81.27727,3.084214,1915,17.1148,1.931914,1915,3.996444,1.241578,1915,46.32183,1.72285,1915,1.135036,.2386363,1915,46.35194,1.723402,1915
